weight,num
1,196
2,196
3,196
4,142
5,106
6,79
7,65
8,54
9,47
10,39
11,32
12,31
13,29
14,25
15,24
16,23
17,22
18,19
19,18
20,18
21,17
22,16
23,15
24,13
25,12
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,10
35,9
36,9
37,9
38,9
39,9
40,9
41,8
42,8
43,8
44,7
45,6
46,6
47,6
48,6
49,6
50,6
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,3
65,3
66,3
67,3
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
